"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 14:02:13 GMT 2025","Mon Sep 22 14:02:16 GMT 2025","2430","LMS System","Courses","Courses","","","Edit course",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Sep 22 14:02:16 GMT 2025","Mon Sep 22 14:02:17 GMT 2025","1373","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Sep 22 14:02:07 GMT 2025","Mon Sep 22 14:02:08 GMT 2025","1518","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Sep 22 14:02:11 GMT 2025","Mon Sep 22 14:02:12 GMT 2025","1421","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Sep 22 14:02:04 GMT 2025","Mon Sep 22 14:02:06 GMT 2025","1931","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Sep 22 14:02:10 GMT 2025","Mon Sep 22 14:02:12 GMT 2025","1791","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Sep 22 14:02:08 GMT 2025","Mon Sep 22 14:02:10 GMT 2025","1257","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Sep 22 14:02:15 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Sep 22 14:02:04 GMT 2025","Mon Sep 22 14:02:08 GMT 2025","3228","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Sep 22 14:02:13 GMT 2025","Mon Sep 22 14:02:15 GMT 2025","2381","LMS System","Courses","Courses","","","Create course",""
"passed","Mon Sep 22 14:02:08 GMT 2025","Mon Sep 22 14:02:09 GMT 2025","1390","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
