"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Sep 23 13:57:53 GMT 2025","Tue Sep 23 13:57:56 GMT 2025","2535","LMS System","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 13:57:45 GMT 2025","Tue Sep 23 13:57:48 GMT 2025","3013","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Sep 23 13:57:56 GMT 2025","Tue Sep 23 13:57:58 GMT 2025","1428","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Sep 23 13:57:53 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","2225","LMS System","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 13:57:49 GMT 2025","Tue Sep 23 13:57:50 GMT 2025","1245","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 13:57:50 GMT 2025","Tue Sep 23 13:57:52 GMT 2025","1519","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 13:57:51 GMT 2025","Tue Sep 23 13:57:52 GMT 2025","1421","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 13:57:47 GMT 2025","Tue Sep 23 13:57:48 GMT 2025","1571","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:57:55 GMT 2025","Tue Sep 23 13:57:55 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Sep 23 13:57:48 GMT 2025","Tue Sep 23 13:57:49 GMT 2025","1376","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:57:45 GMT 2025","Tue Sep 23 13:57:46 GMT 2025","1723","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
