"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:04 GMT 2025","1534","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 24 12:14:54 GMT 2025","Wed Sep 24 12:14:55 GMT 2025","1359","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 24 12:14:49 GMT 2025","Wed Sep 24 12:14:51 GMT 2025","1968","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 24 12:14:57 GMT 2025","Wed Sep 24 12:14:58 GMT 2025","1537","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 24 12:14:52 GMT 2025","Wed Sep 24 12:14:53 GMT 2025","1659","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 24 12:14:59 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","2828","LMS System","Courses","Courses","","","Create course",""
"passed","Wed Sep 24 12:14:55 GMT 2025","Wed Sep 24 12:14:57 GMT 2025","1714","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 24 12:14:59 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","3016","LMS System","Courses","Courses","","","Edit course",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Sep 24 12:14:49 GMT 2025","Wed Sep 24 12:14:53 GMT 2025","3543","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Sep 24 12:15:02 GMT 2025","Wed Sep 24 12:15:02 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Sep 24 12:14:54 GMT 2025","Wed Sep 24 12:14:55 GMT 2025","1382","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
