"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Sep 22 13:40:36 GMT 2025","Mon Sep 22 13:40:37 GMT 2025","1612","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Sep 22 13:40:45 GMT 2025","Mon Sep 22 13:40:47 GMT 2025","1427","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Sep 22 13:40:37 GMT 2025","Mon Sep 22 13:40:38 GMT 2025","1386","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Sep 22 13:40:40 GMT 2025","Mon Sep 22 13:40:41 GMT 2025","1342","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Sep 22 13:40:34 GMT 2025","Mon Sep 22 13:40:37 GMT 2025","3062","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Sep 22 13:40:38 GMT 2025","Mon Sep 22 13:40:39 GMT 2025","1245","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Sep 22 13:40:34 GMT 2025","Mon Sep 22 13:40:35 GMT 2025","1752","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Sep 22 13:40:42 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","2054","LMS System","Courses","Courses","","","Create course",""
"passed","Mon Sep 22 13:40:42 GMT 2025","Mon Sep 22 13:40:45 GMT 2025","2423","LMS System","Courses","Courses","","","Edit course",""
"passed","Mon Sep 22 13:40:39 GMT 2025","Mon Sep 22 13:40:41 GMT 2025","1597","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Sep 22 13:40:44 GMT 2025","Mon Sep 22 13:40:44 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
