"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 13:54:01 GMT 2025","Tue Sep 23 13:54:02 GMT 2025","1342","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 13:54:11 GMT 2025","Tue Sep 23 13:54:11 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Sep 23 13:54:09 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Sep 23 13:54:06 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","3046","LMS System","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 13:54:09 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Sep 23 13:54:02 GMT 2025","Tue Sep 23 13:54:04 GMT 2025","1612","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 13:54:09 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Sep 23 13:54:09 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Sep 23 13:54:06 GMT 2025","Tue Sep 23 13:54:08 GMT 2025","2508","LMS System","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 13:53:57 GMT 2025","Tue Sep 23 13:54:00 GMT 2025","3207","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 13:54:04 GMT 2025","Tue Sep 23 13:54:05 GMT 2025","1403","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 13:54:09 GMT 2025","Tue Sep 23 13:54:09 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Sep 23 13:53:57 GMT 2025","Tue Sep 23 13:53:58 GMT 2025","1609","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:53:58 GMT 2025","Tue Sep 23 13:54:00 GMT 2025","1851","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 13:54:08 GMT 2025","Tue Sep 23 13:54:10 GMT 2025","2075","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 13:54:00 GMT 2025","Tue Sep 23 13:54:02 GMT 2025","1780","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
