"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 24 11:49:55 GMT 2025","Wed Sep 24 11:49:57 GMT 2025","1396","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Sep 24 11:49:54 GMT 2025","Wed Sep 24 11:49:56 GMT 2025","1628","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 24 11:49:57 GMT 2025","Wed Sep 24 11:49:59 GMT 2025","1571","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Sep 24 11:49:52 GMT 2025","Wed Sep 24 11:49:54 GMT 2025","2008","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 24 11:50:00 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","2563","LMS System","Courses","Courses","","","Create course",""
"passed","Wed Sep 24 11:50:01 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","2733","LMS System","Courses","Courses","","","Edit course",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Sep 24 11:50:03 GMT 2025","Wed Sep 24 11:50:03 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Sep 24 11:49:56 GMT 2025","Wed Sep 24 11:49:57 GMT 2025","1369","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 24 11:49:52 GMT 2025","Wed Sep 24 11:49:55 GMT 2025","3440","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 24 11:49:58 GMT 2025","Wed Sep 24 11:50:00 GMT 2025","1521","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 24 11:50:04 GMT 2025","Wed Sep 24 11:50:05 GMT 2025","1424","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
